STATION_CODE,STATION_NAME,DIVISION,ZONE,DISTRICT,STATE,WORKING HOURS FROM,WORKING HOURS TO,TERMINAL TYPE,AVG. RAKES HANDLING,LINE COUNT,HANDLING TYPE,WAREHOUSE_AVAILABLE (YES/NO),OWNER,ASSOCIATED WEIGHBRIDGE,ALTERNATE WEIGHBRIDGE,TANK HANDLING (YES/NO),LATITUDE,LONGITUDE
BPTG,GRAIN DEPOT,BPT,BPT,MUMBAI,MAHARASHTRA,,,PRVT-SDNG,9.4,,,,,,,,18.979312,72.854188
BPTV,VICTORIA DOCK BPT RLY,BPT,BPT,MUMBAI,MAHARASHTRA,00:00,23:59,PRVT-SDNG,5.7,,,,,,,,18.950721,72.845697
C,KIDDERPORE DOCKS,CPT,CPT,KOLKATA,WEST BENGAL,,,PRVT-SDNG,9.0,,,,,,,,22.53639722,88.31575833
BCCK,M/S BULK CEMENT CORPORATION LTD. SDG KALAMBOLI,BB,CR,RAIGAD,MAHARASHTRA,00:00,23:59,PRVT-SDNG,4.5,4.0,MANUAL,N,CWC,KLMG,,N,19.034696,73.114529
BIRD,BHIVANDI ROAD,BB,CR,THANE,MAHARASHTRA,06:00,18:00,GOODS-SHED,1.5,,,,,,,,19.26839467,73.046771
BRSG,"BHARAT PETROLEUM CORPORATION SIDING, TROMBAY",BB,CR,MUMBAI,MAHARASHTRA,07:45,23:45,PRVT-SDNG,9.8,2.0,MANUAL,N,BPCL,BRSG,,Y,19.023498,72.925358
CCIK,M/S COTTON CORPN. OF INDIAN LTD. SIDING KLMI,BB,CR,RAIGAD,MAHARASHTRA,,,PRVT-SDNG,7.2,2.0,,Y,IR,,,N,19.0328,73.1012
CRTK,TURBHE CONTAINER DEPOT,BB,CR,THANE,MAHARASHTRA,,,PRVT-SDNG,1.5,2.0,MANUAL,Y,CONR,CRTK,,N,19.07595832,73.01779656
CWJC,CENTRAL WAREHOUSING CORP. SIDING,BB,CR,RAIGAD,MAHARASHTRA,,,PRVT-SDNG,7.7,,,,,,,,18.93787,73.027925
DRTA,DRONAGIRI RAIL TERMINAL,BB,CR,RAIGAD,MAHARASHTRA,00:00,23:59,PRVT-SDNG,1.3,3.0,MANUAL,N,CONR,JNPT,,N,18.8575,72.9364
FZSG,"RASTRIYA CHEMICAL SIDING, TROMBAY",BB,CR,MUMBAI,MAHARASHTRA,00:00,23:59,PRVT-SDNG,9.3,15.0,MANUAL,N,IR,FZSG,,N,19.023498,72.925358
JNPT,JAWAHAR LAL NEHRU PORT,BB,CR,RAIGAD,MAHARASHTRA,06:00,22:00,PRVT-SDNG,3.4,10.0,MECHANICAL,N,CONR,JNPT,,Y,18.9008,72.98
JSWD,M/S JSW STEEL LTD.,BB,CR,RAIGAD,MAHARASHTRA,,,PRVT-SDNG,4.5,3.0,MECHANICAL,Y,JSWD,JSWD,,N,18.739419,73.087492
JSWV,M/S JSW STEEL COATED PRODUCTS LTD.,BB,CR,THANE,MAHARASHTRA,,,PRVT-SDNG,2.5,2.0,MANUAL,N,JSWV,JSWV,,N,19.406212,73.267479
KFCG,"FOOD CORPN. OF INDIA SDG, KALAMBOLI EXCHANGE YARD",BB,CR,RAIGAD,MAHARASHTRA,06:00,22:00,PRVT-SDNG,4.1,6.0,MANUAL,Y,FCI,KFCG,,N,19.034696,73.114529
KLMG,KALAMBOLI GOODS,BB,CR,RAIGAD,MAHARASHTRA,06:00,22:00,GOODS-SHED,5.6,9.0,MANUAL,N,IR,KLMG,,N,19.03419383,73.1146025
KSAG,"STEEL AUTHORITY OF INDIA LTD. SDG,  KALAMBOLI EXCHANGE YARD",BB,CR,RAIGAD,MAHARASHTRA,06:00,22:00,PRVT-SDNG,6.5,3.0,MANUAL,N,SEIL,KSAG,,N,19.034696,73.114529
KTIG,"TISCO SIDING, KALAMBOLI EXCHANGE YARD",BB,CR,RAIGAD,MAHARASHTRA,06:00,22:00,PRVT-SDNG,2.8,2.0,MANUAL,N,TISC,KTIG,,N,19.034696,73.114529
KYN,KALYAN JN.,BB,CR,THANE,MAHARASHTRA,06:00,22:00,GOODS-SHED,2.9,14.0,MANUAL,N,IR,KYN,,N,19.2350105,73.12984883
LNL,LONAVLA,BB,CR,PUNE,MAHARASHTRA,06:30,18:30,GOODS-SHED,7.2,8.0,MANUAL,N,IR,LNL,,N,18.74950317,73.40779317
MBPP,M/S BHARAT PETROLEUM CORPORATION LTD. SIDING AT URAN PANVEL,BB,CR,RAIGAD,MAHARASHTRA,06:00,22:00,PRVT-SDNG,2.2,3.0,MECHANICAL,N,BPC,MBPP,,Y,18.990429,73.121266
MILK,M/S CENTRAL WAREHOUSING CORPORATION,BB,CR,RAIGAD,MAHARASHTRA,06:00,22:00,PRVT-SDNG,3.0,3.0,MANUAL,N,IR,KLMG,,N,19.0328,73.1012
MIOJ,IOT INFRASTRUCTURE AND ENERGY SERVICES LTD,BB,CR,RAIGAD,MAHARASHTRA,06:00,22:00,PRVT-SDNG,2.5,3.0,MANUAL,N,,MIOJ,,Y,18.93787,73.027925
NGSM,NEW MULAND GOODS DEPOT,BB,CR,MUMBAI SUBURBAN,MAHARASHTRA,00:00,23:59,CRT,1.2,4.0,MANUAL,N,IR,NGSM,,N,19.0176,72.8562
NGTN,NAGOTHANE,BB,CR,RAIGAD,MAHARASHTRA,06:00,22:00,CRT,1.8,3.0,MANUAL,N,IR,NGTN,,N,18.540677,73.14082233
NRSG,"NATIONAL RAYON CORPORATION SDG, KALYAN",BB,CR,THANE,MAHARASHTRA,06:00,22:00,RLY-SDNG,4.3,3.0,MANUAL,N,IR,NRSG,,N,19.235126,73.13015
NSKG,"NAVAL SIDING KARANJA, URAN CITY",BB,CR,RAIGAD,MAHARASHTRA,06:30,18:30,RLY-SDNG,2.9,2.0,MANUAL,N,IR,NSKG,,N,18.878189,72.952137
PATP,ADANI AGRO LOGISTICS LTD,BB,CR,RAIGAD,MAHARASHTRA,06:00,22:00,PRVT-SDNG,8.4,2.0,MECHANICAL,N,ADEL,PATP,,N,19.078991,73.087406
PEN,PEN,BB,CR,RAIGAD,MAHARASHTRA,06:00,18:00,GOODS-SHED,2.0,2.0,MANUAL,N,IR,PEN,,N,18.73609633,73.08680983
PNCS,M/S NAVKAR CORP. LTD,BB,CR,RAIGAD,MAHARASHTRA,06:00,22:00,PRVT-SDNG,3.1,3.0,MANUAL,Y,NCP,PNCS,,N,18.951793,73.145084
PPDP,M/S PNP MARITIME SERVICES LTD,BB,CR,RAIGAD,MAHARASHTRA,06:00,22:00,PRVT-SDNG,2.4,2.0,MECHANICAL,Y,PMSP,PPDP,,N,18.739419,73.087492
ROHA,ROHA,BB,CR,RAIGAD,MAHARASHTRA,06:00,22:00,GOODS-SHED,5.0,3.0,MANUAL,N,IR,ROHA,,N,18.44684533,73.124059
TAPG,TURBHE APM COMPLEX,BB,CR,THANE,MAHARASHTRA,06:00,22:00,CRT,2.7,4.0,MANUAL,N,IR,TAPG,,N,19.07595832,73.01779656
TMBY,TROMBAY,BB,CR,MUMBAI,MAHARASHTRA,06:00,22:00,GOODS-SHED,5.2,,,,,,,,19.023498,72.925358
TPND,TALOJA PANCHNAND,BB,CR,RAIGAD,MAHARASHTRA,,,GOODS-SHED,1.9,3.0,MANUAL,N,IR,TPND,,N,19.07952117,73.08796017
TTPS,"TATA THERMAL POWER STATION SIDING, TROMBAY",BB,CR,MUMBAI,MAHARASHTRA,00:00,23:59,PRVT-SDNG,1.3,2.0,MANUAL,N,IR,TTPS,,N,19.023498,72.925358
TVSG,"RASTRIYA CHEMICAL AND FERT.SIDING THAL VAISHET,PEN",BB,CR,RAIGAD,MAHARASHTRA,00:00,23:59,PRVT-SDNG,9.3,13.0,MANUAL,Y,RCF,TVSG,,N,18.739419,73.087492
URAN,URAN,BB,CR,RAIGAD,MAHARASHTRA,06:00,22:00,GOODS-SHED,1.6,,,,,,,,18.99041111,73.12200556
VIR,WELSPUN MAXSTEEL. LTD.,BB,CR,RAIGAD,MAHARASHTRA,06:00,22:00,RLY-SDNG,2.3,2.0,MANUAL,N,WELS,VIR,,N,18.44684043,73.12392712
VOSG,"HINDUSTAN PETROLEUM CORPORATION SIDING, TROMBAY",BB,CR,MUMBAI,MAHARASHTRA,07:45,23:45,PRVT-SDNG,6.9,2.0,MANUAL,N,HPCH,VOSG,,Y,19.023498,72.925358
VSPG,"VISAKHA PATNAM STEEL PROJECT SDG,  KALAMBOLI",BB,CR,RAIGAD,MAHARASHTRA,06:00,22:00,PRVT-SDNG,9.2,2.0,MANUAL,N,VISM,VSPG,,N,19.034696,73.114529
AAK,ANKAIKILA,BSL,CR,NASHIK,MAHARASHTRA,06:00,22:00,GOODS-SHED,2.1,,,,IR,,,,20.18292017,74.43777683
AK,AKOLA (BG),BSL,CR,AKOLA,MAHARASHTRA,,,GOODS-SHED,8.0,2.0,MANUAL,N,IR,,,N,20.7233795,77.0038775
BAU,BURHANPUR,BSL,CR,BURHANPUR,MADHYA PRADESH,,,GOODS-SHED,9.2,1.0,MANUAL,N,IR,BMA,,N,21.335227,76.19977083
BD,BADNERA JN.,BSL,CR,AMRAVATI,MAHARASHTRA,00:00,23:59,GOODS-SHED,1.8,3.0,MANUAL,Y,IR,TAE,,N,20.8575245,77.73169333
BESG,MSEB SIDING PARAS,BSL,CR,AKOLA,MAHARASHTRA,00:00,23:59,PRVT-SDNG,1.1,6.0,MECHANICAL,N,MSPG,TAE,,Y,20.724889,76.816235
BGN,BORGAON,BSL,CR,AKOLA,MAHARASHTRA,06:00,22:00,GOODS-SHED,5.3,2.0,MANUAL,N,IR,TAE,,N,20.72869767,77.1811655
BPCP,BPCL SDG. PANEVADI,BSL,CR,NASHIK,MAHARASHTRA,09:00,17:00,PRVT-SDNG,3.4,2.0,MECHANICAL,N,BPCL,BMA,,Y,20.26574,74.495373
BSGS,BHUSAVAL GOODS SHED,BSL,CR,JALGAON,MAHARASHTRA,,,CRT,3.0,1.0,MANUAL,N,IR,BMA,,N,21.047,75.7884
CSN,CHALISGAON JN.,BSL,CR,JALGAON,MAHARASHTRA,06:00,22:00,GOODS-SHED,3.4,1.0,MANUAL,Y,IR,BMA,,N,20.463404,74.99833467
DHI,DHULE   (DHULIA),BSL,CR,DHULE,MAHARASHTRA,00:00,23:59,GOODS-SHED,9.6,2.0,MANUAL,N,IR,BMA,,N,20.88783783,74.768025
DMSG,"DEVLALI MILITARY SIDING, DEVLALI",BSL,CR,NASHIK,MAHARASHTRA,06:00,22:00,RLY-SDNG,1.9,2.0,MANUAL,N,MILY,BMA,,N,19.897099,73.83688
DVL,DEVLALI,BSL,CR,NASHIK,MAHARASHTRA,06:00,22:00,GOODS-SHED,8.8,,,,IR,,,,19.897877,73.8368595
GDSG,"FOOD CORPORATION OF INDIA SDG, MANMAD",BSL,CR,NASHIK,MAHARASHTRA,06:00,22:00,PRVT-SDNG,1.7,15.0,MANUAL,N,IR,BMA,,N,20.249877,74.438295
IOC,POL SIDING FOR IOC LTD. SHIRUD,BSL,CR,DHULE,MAHARASHTRA,06:00,22:00,PRVT-SDNG,4.5,1.0,MECHANICAL,N,IOC,BMA,,Y,20.735566,74.876461
JL,JALGAON JN.,BSL,CR,JALGAON,MAHARASHTRA,00:00,23:59,GOODS-SHED,9.5,3.0,MANUAL,N,IR,BMA,,N,21.01837117,75.56334917
KBSN,KASBE SUKENE,BSL,CR,NASHIK,MAHARASHTRA,06:00,22:00,CRT,5.3,,,,IR,,,,20.07418633,74.0312215
KMN,KHAMGAON,BSL,CR,BULDHANA,MAHARASHTRA,06:00,22:00,GOODS-SHED,4.4,3.0,MANUAL,N,IR,BMA,,N,20.70835483,76.57083967
KNW,KHANDWA   (BG),BSL,CR,EAST NIMAR,MADHYA PRADESH,,,GOODS-SHED,8.6,3.0,MANUAL,Y,IR,JHS,,N,21.823675,76.35330833
KW,KHERVADI,BSL,CR,NASHIK,MAHARASHTRA,06:00,22:00,CRT,1.9,1.0,MANUAL,N,IR,BMA,,N,20.0466005,73.973851
LS,LASAL GAON,BSL,CR,NASHIK,MAHARASHTRA,00:00,23:59,GOODS-SHED,5.4,2.0,MANUAL,N,IR,BMA,,N,20.15493817,74.22579417
MFSG,"MAHARASTRA STATE ELECT BOARD SDG, BHUSAVAL",BSL,CR,JALGAON,MAHARASHTRA,00:00,23:59,PRVT-SDNG,7.2,11.0,MECHANICAL,N,MSPG,TAE,,Y,21.0469912,75.7883817
MKU,MALKAPUR,BSL,CR,BULDHANA,MAHARASHTRA,00:00,23:59,GOODS-SHED,3.5,2.0,MANUAL,N,IR,BMA,,N,20.89197983,76.20484033
MMR,MANMAD JN.,BSL,CR,NASHIK,MAHARASHTRA,06:00,22:00,GOODS-SHED,5.1,2.0,MANUAL,N,IR,BMA,,N,20.25036283,74.439509
MQSG,"MSEB THERMAL POWER STATION SDG, ODHA",BSL,CR,NASHIK,MAHARASHTRA,00:00,23:59,PRVT-SDNG,9.2,7.0,MECHANICAL,N,MSPG,TAE,,Y,20.01642,73.910866
NGN,NANDGAON,BSL,CR,NASHIK,MAHARASHTRA,06:00,22:00,GOODS-SHED,4.7,3.0,MANUAL,N,IR,BMA,,N,20.309674,74.66060117
NK,NASIK ROAD,BSL,CR,NASHIK,MAHARASHTRA,00:00,23:59,GOODS-SHED,2.5,4.0,MANUAL,Y,IR,BMA,,N,19.94825633,73.84255533
NMSG,NEPA LIMITED SIDING,BSL,CR,BURHANPUR,MADHYA PRADESH,06:00,22:00,PRVT-SDNG,8.0,4.0,MECHANICAL,N,NPL,BMA,,N,21.463853,76.396952
NR,NIPHAD,BSL,CR,NASHIK,MAHARASHTRA,06:00,22:00,CRT,4.3,1.0,MANUAL,N,IR,BMA,,N,20.09698083,74.0800145
OCSB,ORIENT CEMENT SIDING BHADLI,BSL,CR,JALGAON,MAHARASHTRA,00:00,23:59,PRVT-SDNG,10.0,5.0,MECHANICAL,N,OCSB,,,N,21.0222615,75.6729054
PC,PACHORA JN.,BSL,CR,JALGAON,MAHARASHTRA,06:00,22:00,GOODS-SHED,8.7,1.0,MANUAL,N,IR,BMA,,N,20.66876217,75.34923517
POLG,POL SIDING FOR IOC LTD. GAIGAON,BSL,CR,AKOLA,MAHARASHTRA,06:00,22:00,PRVT-SDNG,3.0,1.0,MECHANICAL,N,IOC,TAE,,Y,20.720554,76.889963
PS,PARAS,BSL,CR,AKOLA,MAHARASHTRA,00:00,23:59,GOODS-SHED,7.4,2.0,MANUAL,N,IR,BMA,,N,20.7249775,76.8164155
RPLW,M/S RATANINDIA POWER LTD,BSL,CR,AMRAVATI,MAHARASHTRA,06:00,22:00,PRVT-SDNG,4.3,4.0,MECHANICAL,N,RATT,,,Y,21.0129,77.7037
RV,RAVER,BSL,CR,JALGAON,MAHARASHTRA,,,GOODS-SHED,8.9,1.0,MANUAL,N,IR,BMA,,N,21.221902,76.04422867
SAV,SAVDA,BSL,CR,JALGAON,MAHARASHTRA,06:00,22:00,GOODS-SHED,3.5,3.0,MANUAL,N,IR,BMA,,N,21.11060433,75.91035117
AGSA,AJNI GOODS SHED SERVED BY AJNI,NGP,CR,NAGPUR,MAHARASHTRA,06:00,22:00,CRT,9.6,2.0,BOTH,Y,IR,BTBR,,N,21.126945,79.082785
AMSG,"AIR FORCE SIDING, AMLA",NGP,CR,BETUL,MADHYA PRADESH,06:00,22:00,PRVT-SDNG,1.1,2.0,MANUAL,N,MILY,BTBR,,N,21.919837,78.123307
BPQ,BALHARSHAH,NGP,CR,CHANDRAPUR,MAHARASHTRA,06:00,22:00,GOODS-SHED,2.3,1.0,BOTH,N,IR,TAE,,N,19.84992167,79.347415
BROL,POL SIDING FOR M/S BPCL,NGP,CR,NAGPUR,MAHARASHTRA,06:00,18:00,PRVT-SDNG,6.9,2.0,MECHANICAL,N,BPCL,BTBR,,Y,20.86047604,78.97474766
BTBR,BUTI BORI JN.,NGP,CR,NAGPUR,MAHARASHTRA,00:00,23:59,CRT,2.8,8.0,MECHANICAL,N,IR,BTBR,,N,20.91843889,79.01347222
BZU,BETUL,NGP,CR,BETUL,MADHYA PRADESH,06:00,22:00,GOODS-SHED,8.7,2.0,MANUAL,Y,IR,BTBR,,N,21.896685,77.90580167
CD,CHANDRAPUR (MH),NGP,CR,CHANDRAPUR,MAHARASHTRA,00:00,23:59,GOODS-SHED,2.1,2.0,BOTH,N,IR,TAE,,N,19.96021,79.29988167
CESG,"ASSOCIATE CEMENT CO. SIDING, GHUGUS",NGP,CR,CHANDRAPUR,MAHARASHTRA,00:00,23:59,PRVT-SDNG,8.2,4.0,MANUAL,N,ACC,TAE,,N,19.949953,79.104137
CGM,"CHARGAON COLLIERY SIDING, MAJRI JN.",NGP,CR,CHANDRAPUR,MAHARASHTRA,00:00,23:59,PRVT-SDNG,4.2,1.0,MECHANICAL,N,WCF,BPK,,N,20.109861,79.019208
CKNI,CHIKNI ROAD,NGP,CR,CHANDRAPUR,MAHARASHTRA,06:00,18:00,GOODS-SHED,6.1,1.0,MECHANICAL,N,IR,TAE,,N,20.32505,78.960095
CSID,MOHAN SIDING PALACHORI,NGP,CR,CHHINDWARA,MADHYA PRADESH,00:00,23:59,PRVT-SDNG,8.0,2.0,MECHANICAL,N,WCF,JNO,,N,22.201352,78.659427
DCSG,"EAST DONGERCHIKLI COLLIERY SDG, PARASIA",NGP,CR,CHHINDWARA,MADHYA PRADESH,00:00,23:59,PRVT-SDNG,6.6,2.0,MECHANICAL,N,WCF,JNO,,N,22.193286,78.76442
DLIB,M/S DISTRIBUTION LOGISTICS INFRASTRUCTURE PVT.LTD.,NGP,CR,NAGPUR,MAHARASHTRA,,,PRVT-SDNG,5.6,4.0,MECHANICAL,Y,DLI,BTBR,,N,20.86047604,78.97474766
DMN,DHAMANGAON,NGP,CR,AMRAVATI,MAHARASHTRA,06:00,22:00,GOODS-SHED,9.6,1.0,MANUAL,Y,IR,BTBR,,N,20.78459667,78.13846944
EOLD,M/S NAYARA ENERGY LTD,NGP,CR,WARDHA,MAHARASHTRA,06:00,22:00,PRVT-SDNG,2.3,1.0,MECHANICAL,N,NERL,BTBR,,Y,20.729505,78.463283
FBSG,"FCI (BUFFAR STORAGE GODOWN) SDG, SEVAGRAM",NGP,CR,WARDHA,MAHARASHTRA,06:00,22:00,PRVT-SDNG,6.1,6.0,MANUAL,Y,FCI,BTBR,,N,20.738616,78.618765
FFSG,"FILLING FACTORY SIDING, BHANDAK",NGP,CR,CHANDRAPUR,MAHARASHTRA,06:30,18:30,PRVT-SDNG,10.0,2.0,MANUAL,Y,MILY,BPK,,N,20.084712,79.112978
FNSG,"FOOD CORPORATION OF INDIA SDG, NAGPUR (AJNI)",NGP,CR,NAGPUR,MAHARASHTRA,06:00,22:00,PRVT-SDNG,7.5,4.0,MANUAL,Y,FCI,BTBR,,N,21.11581,79.078646
GGS,GHUGUS,NGP,CR,CHANDRAPUR,MAHARASHTRA,00:00,23:59,GOODS-SHED,4.7,3.0,MECHANICAL,N,IR,GGS,,N,19.94294,79.11428333
GNQ,GODHANI,NGP,CR,NAGPUR,MAHARASHTRA,00:00,23:59,GOODS-SHED,6.6,1.0,MANUAL,N,IR,BTBR,,N,21.21170333,79.06884
GSG,"GHUGUS COLLIERY SDG, GHUGUS",NGP,CR,CHANDRAPUR,MAHARASHTRA,00:00,23:59,PRVT-SDNG,9.4,2.0,MECHANICAL,N,WCL,TAE,,N,19.949953,79.104137
HGT,HINGANGHAT,NGP,CR,WARDHA,MAHARASHTRA,06:00,22:00,GOODS-SHED,4.3,1.0,MANUAL,N,IR,BPK,,N,20.54257,78.83363333
HLSG,"HINDUSTAN LALPETH COLLIERY SDG, BABU PETH",NGP,CR,CHANDRAPUR,MAHARASHTRA,00:00,23:59,PRVT-SDNG,1.1,1.0,MECHANICAL,N,WCF,TAE,,N,19.922681,79.312577
HRG,HIRDAGARH,NGP,CR,CHHINDWARA,MADHYA PRADESH,00:00,23:59,GOODS-SHED,9.5,1.0,MECHANICAL,N,IR,JNO,,N,22.14223667,78.51725333
IOBT,"POL SIDING FOR IOC AND BPCL, TADALI",NGP,CR,CHANDRAPUR,MAHARASHTRA,06:00,18:00,PRVT-SDNG,9.3,3.0,MECHANICAL,N,IOC,TAE,,Y,20.034725,79.187393
JCSK,M/S JSW STEEL COATED PRODUCTS LIMITED,NGP,CR,NAGPUR,MAHARASHTRA,,,PRVT-SDNG,5.2,,,,,,,,21.22932167,78.915495
KAYR,KAYER,NGP,CR,YAVATMAL,MAHARASHTRA,00:00,23:59,GOODS-SHED,7.0,1.0,MECHANICAL,Y,IR,WANI,,N,19.90677333,78.90751833
KECM,KARNATAKAEMTA COAL MINES SDNG,NGP,CR,CHANDRAPUR,MAHARASHTRA,06:00,22:00,PRVT-SDNG,2.7,1.0,MECHANICAL,N,KECM,BPK,,N,20.138873,79.043112
KRI,KHAPRI,NGP,CR,NAGPUR,MAHARASHTRA,06:00,22:00,GOODS-SHED,3.3,1.0,MECHANICAL,N,IR,BTBR,,Y,21.04983,79.048845
KRSP,KIRSADOH RAILWAY SIDING,NGP,CR,CHHINDWARA,MADHYA PRADESH,,,RLY-SDNG,6.7,2.0,BOTH,N,IR,JNO,,N,22.193286,78.76442
KSWR,KALMESHWAR,NGP,CR,NAGPUR,MAHARASHTRA,,,GOODS-SHED,3.7,1.0,BOTH,N,IR,BTBR,,N,21.22932167,78.915495
MBCB,"BALLARPUR COLLIERY SDG,  BALLARSHAH",NGP,CR,CHANDRAPUR,MAHARASHTRA,00:00,23:59,PRVT-SDNG,8.8,1.0,MECHANICAL,N,WCF,TAE,,N,19.848997,79.347736
MDIT,M/S DHARIWAL INFRASTRUTRE LTD SIDING,NGP,CR,CHANDRAPUR,MAHARASHTRA,00:00,23:59,PRVT-SDNG,2.6,2.0,MECHANICAL,N,DWIS,TAE,,N,20.034725,79.187393
MELG,"MAHARASTRA ELECTRO SMELT SDG, CHANDRAPUR",NGP,CR,CHANDRAPUR,MAHARASHTRA,06:00,22:00,PRVT-SDNG,6.4,3.0,BOTH,N,CPFP,TAE,,N,19.959796,79.300175
MJSG,"NEW MANJRI COLLIERY SIDING,  MAJRIKHADAN",NGP,CR,CHANDRAPUR,MAHARASHTRA,00:00,23:59,PRVT-SDNG,6.2,1.0,MECHANICAL,N,WCF,BPK,,N,20.109861,79.019208
MJY,MARAMJHIRI,NGP,CR,BETUL,MADHYA PRADESH,06:00,22:00,CRT,5.6,,,,,,,,21.94424667,77.88333667
MKCW,KARTIKEY COAL WASHRIES PVT. LTD.,NGP,CR,YAVATMAL,MAHARASHTRA,00:00,23:59,PRVT-SDNG,9.4,1.0,MECHANICAL,N,KCWL,WANI,,N,20.06609,78.962345
MLSW,M/S EVONITH VALUE STEEL LTD,NGP,CR,WARDHA,MAHARASHTRA,,,PRVT-SDNG,2.9,5.0,BOTH,N,UVSL,BPK,,N,20.708914,78.63018
MNSG,"MAJRI OLD  SDG, MAJRIKHADAN",NGP,CR,CHANDRAPUR,MAHARASHTRA,00:00,23:59,PRVT-SDNG,4.2,1.0,MECHANICAL,N,WCF,BPK,,N,20.109861,79.019208
MPBG,MADHYA PRADESH ELECTRICITY BOARD SIDING (SARNI)  GHORADONGRI,NGP,CR,BETUL,MADHYA PRADESH,00:00,23:59,PRVT-SDNG,9.9,5.0,MECHANICAL,N,MPPG,ET,,N,22.126593,78.002157
MTY,MULTAI,NGP,CR,BETUL,MADHYA PRADESH,06:00,22:00,GOODS-SHED,4.5,1.0,MANUAL,Y,IR,ET,,N,21.783065,78.26336833
NLGS,M/S NAGPUR MMLP GATI SHAKTI MULTI MODAL CARGO TERMINAL,NGP,CR,NAGPUR,MAHARASHTRA,06:00,22:00,PRVT-SDNG,8.0,,,,,,,,20.81581944,78.88301111
NTPG,"NEW THERMAL POWER STATION SDG, CHANDRAPUR",NGP,CR,CHANDRAPUR,MAHARASHTRA,00:00,23:59,PRVT-SDNG,3.4,7.0,MECHANICAL,N,MSPG,TAE,,Y,19.959796,79.300175
PALB,M/S ADANI LOGISTICS LTD PFT,NGP,CR,NAGPUR,MAHARASHTRA,00:00,23:59,PRVT-SDNG,6.2,,,,,,,,20.86045833,78.97486944
PAR,PANDURNA,NGP,CR,CHHINDWARA,MADHYA PRADESH,06:00,22:00,GOODS-SHED,3.6,1.0,MANUAL,Y,IR,ET,,N,21.589725,78.525125
PCPK,MULTI MODEL LOGISTIC PARK,NGP,CR,NAGPUR,MAHARASHTRA,06:00,22:00,PRVT-SDNG,3.9,5.0,MECHANICAL,N,CONR,BTBR,,N,21.049018,79.048519
PLO,PULGAON JN.,NGP,CR,WARDHA,MAHARASHTRA,06:00,22:00,GOODS-SHED,6.2,1.0,MANUAL,N,IR,BTBR,,N,20.7265,78.31722778
PMEC,M/S GMR WARORA ENERGY LTD.,NGP,CR,CHANDRAPUR,MAHARASHTRA,,,PRVT-SDNG,5.3,4.0,MECHANICAL,N,GMR,BPK,,N,20.326036,78.959427
PMKT,PIMPALKHUTI,NGP,CR,YAVATMAL,MAHARASHTRA,06:00,22:00,GOODS-SHED,5.6,1.0,MANUAL,N,IR,WANI,,N,19.83019833,78.580655
POSG,"ORDINANCE DEPOT MILITARY SDG, PULGAON",NGP,CR,WARDHA,MAHARASHTRA,06:30,18:30,PRVT-SDNG,2.3,8.0,MANUAL,N,MILY,BTBR,,N,20.726294,78.317671
PUX,PARASIA JN.,NGP,CR,CHHINDWARA,MADHYA PRADESH,06:00,22:00,GOODS-SHED,7.7,2.0,MANUAL,Y,IR,JNO,,N,22.19362,78.76368667
PVIT,M/S VIMALA INFRASTRUCTURE INDIA PVT. LTD,NGP,CR,CHANDRAPUR,MAHARASHTRA,06:00,18:00,PRVT-SDNG,8.2,3.0,BOTH,Y,VIIP,TAE,,N,20.034725,79.187393
PWCL,M/S SAI WARDHA POWER GENERATION LTD,NGP,CR,CHANDRAPUR,MAHARASHTRA,06:00,22:00,PRVT-SDNG,6.7,4.0,MECHANICAL,N,SWPL,BPK,,N,20.244643,79.010324
RAJR,RAJUR,NGP,CR,YAVATMAL,MAHARASHTRA,00:00,23:59,GOODS-SHED,1.1,2.0,MECHANICAL,N,IR,WANI,,N,20.105911,78.91016
RCXG,"RAYATWARI COLLIERY SDG,  CHANDRAPUR",NGP,CR,CHANDRAPUR,MAHARASHTRA,00:00,23:59,PRVT-SDNG,2.2,2.0,MECHANICAL,N,WCF,TAE,,N,19.959796,79.300175
RGTM,M/S RELIANCE CEMENT COMPANY PVT LTD,NGP,CR,YAVATMAL,MAHARASHTRA,00:00,23:59,PRVT-SDNG,7.3,,,,,,,,20.06675,78.96060833
RJSG,"RAJUR COLLIERY SDG,  RAJUR",NGP,CR,YAVATMAL,MAHARASHTRA,00:00,23:59,PRVT-SDNG,3.3,3.0,MECHANICAL,N,WCF,WANI,,N,20.105911,78.91016
RKSG,"RAWANWARA KHAS COLLIERY SDG AND EXT TO RAWANWARA, PARASIA",NGP,CR,CHHINDWARA,MADHYA PRADESH,00:00,23:59,PRVT-SDNG,6.2,2.0,MECHANICAL,N,WCL,JNO,,N,22.193286,78.76442
RNGS,RAJUR NEW GOODS SHED SERVED BY RAJUR,NGP,CR,YAVATMAL,MAHARASHTRA,00:00,23:59,GOODS-SHED,1.4,,,,,,,,20.105911,78.91016
TAE,TADALI JN.,NGP,CR,CHANDRAPUR,MAHARASHTRA,00:00,23:59,GOODS-SHED,7.0,3.0,BOTH,N,IR,TAE,,N,20.03460667,79.18773833
UMSG,"UMRED COLLIERY SIDING, BUTI BORI",NGP,CR,NAGPUR,MAHARASHTRA,00:00,23:59,PRVT-SDNG,5.0,4.0,MECHANICAL,N,WCL,BTBR,,N,20.91847276,79.01362896
